trip_id,trip_date,line,stop_id,stop_name,update_time,arrival_time,departure_time
076950_1..S03R,20230330,1,142S,South Ferry,2023-03-30 13:46:33.298436,2023-03-30 13:47:01,
077150_1..N03R,20230330,1,101N,Van Cortlandt Park-242 St,2023-03-30 13:46:33.298436,2023-03-30 13:45:33,
077550_1..S03R,20230330,1,135S,Canal St,2023-03-30 13:46:33.298436,2023-03-30 13:46:20,2023-03-30 13:46:20
077550_1..S03R,20230330,1,136S,Franklin St,2023-03-30 13:46:33.298436,2023-03-30 13:47:20,2023-03-30 13:47:20
077550_1..S03R,20230330,1,137S,Chambers St,2023-03-30 13:46:33.298436,2023-03-30 13:48:50,2023-03-30 13:48:50
077550_1..S03R,20230330,1,138S,WTC Cortlandt,2023-03-30 13:46:33.298436,2023-03-30 13:49:50,2023-03-30 13:49:50
077550_1..S03R,20230330,1,139S,Rector St,2023-03-30 13:46:33.298436,2023-03-30 13:51:20,2023-03-30 13:51:20
077550_1..S03R,20230330,1,142S,South Ferry,2023-03-30 13:46:33.298436,2023-03-30 13:52:50,
077750_1..N03R,20230330,1,106N,Marble Hill-225 St,2023-03-30 13:46:33.298436,2023-03-30 13:47:00,2023-03-30 13:47:00
077750_1..N03R,20230330,1,104N,231 St,2023-03-30 13:46:33.298436,2023-03-30 13:48:30,2023-03-30 13:48:30
077750_1..N03R,20230330,1,103N,238 St,2023-03-30 13:46:33.298436,2023-03-30 13:50:00,2023-03-30 13:52:30
077750_1..N03R,20230330,1,101N,Van Cortlandt Park-242 St,2023-03-30 13:46:33.298436,2023-03-30 13:54:00,
078150_1..S03R,20230330,1,132S,14 St,2023-03-30 13:46:33.298436,2023-03-30 13:47:13,2023-03-30 13:47:13
078150_1..S03R,20230330,1,133S,Christopher St-Sheridan Sq,2023-03-30 13:46:33.298436,2023-03-30 13:48:43,2023-03-30 13:48:43
078150_1..S03R,20230330,1,134S,Houston St,2023-03-30 13:46:33.298436,2023-03-30 13:50:13,2023-03-30 13:50:13
078150_1..S03R,20230330,1,135S,Canal St,2023-03-30 13:46:33.298436,2023-03-30 13:51:43,2023-03-30 13:51:43
078150_1..S03R,20230330,1,136S,Franklin St,2023-03-30 13:46:33.298436,2023-03-30 13:52:43,2023-03-30 13:52:43
078150_1..S03R,20230330,1,137S,Chambers St,2023-03-30 13:46:33.298436,2023-03-30 13:54:13,2023-03-30 13:54:13
078150_1..S03R,20230330,1,138S,WTC Cortlandt,2023-03-30 13:46:33.298436,2023-03-30 13:55:13,2023-03-30 13:55:13
078150_1..S03R,20230330,1,139S,Rector St,2023-03-30 13:46:33.298436,2023-03-30 13:56:43,2023-03-30 13:56:43
078150_1..S03R,20230330,1,142S,South Ferry,2023-03-30 13:46:33.298436,2023-03-30 13:58:13,
078350_1..N03R,20230330,1,111N,181 St,2023-03-30 13:46:33.298436,2023-03-30 13:46:07,2023-03-30 13:46:07
078350_1..N03R,20230330,1,110N,191 St,2023-03-30 13:46:33.298436,2023-03-30 13:47:37,2023-03-30 13:47:37
078350_1..N03R,20230330,1,109N,Dyckman St,2023-03-30 13:46:33.298436,2023-03-30 13:48:37,2023-03-30 13:48:37
078350_1..N03R,20230330,1,108N,207 St,2023-03-30 13:46:33.298436,2023-03-30 13:50:07,2023-03-30 13:50:07
078350_1..N03R,20230330,1,107N,215 St,2023-03-30 13:46:33.298436,2023-03-30 13:51:37,2023-03-30 13:51:37
078350_1..N03R,20230330,1,106N,Marble Hill-225 St,2023-03-30 13:46:33.298436,2023-03-30 13:53:07,2023-03-30 13:53:07
078350_1..N03R,20230330,1,104N,231 St,2023-03-30 13:46:33.298436,2023-03-30 13:54:37,2023-03-30 13:54:37
078350_1..N03R,20230330,1,103N,238 St,2023-03-30 13:46:33.298436,2023-03-30 13:56:07,2023-03-30 13:58:37
078350_1..N03R,20230330,1,101N,Van Cortlandt Park-242 St,2023-03-30 13:46:33.298436,2023-03-30 14:00:07,
078750_1..S03R,20230330,1,127S,Times Sq-42 St,2023-03-30 13:46:33.298436,2023-03-30 13:47:14,2023-03-30 13:47:14
078750_1..S03R,20230330,1,128S,34 St-Penn Station,2023-03-30 13:46:33.298436,2023-03-30 13:48:44,2023-03-30 13:48:44
078750_1..S03R,20230330,1,129S,28 St,2023-03-30 13:46:33.298436,2023-03-30 13:50:14,2023-03-30 13:50:14
078750_1..S03R,20230330,1,130S,23 St,2023-03-30 13:46:33.298436,2023-03-30 13:51:14,2023-03-30 13:51:14
078750_1..S03R,20230330,1,131S,18 St,2023-03-30 13:46:33.298436,2023-03-30 13:52:14,2023-03-30 13:52:14
078750_1..S03R,20230330,1,132S,14 St,2023-03-30 13:46:33.298436,2023-03-30 13:53:14,2023-03-30 13:53:14
078750_1..S03R,20230330,1,133S,Christopher St-Sheridan Sq,2023-03-30 13:46:33.298436,2023-03-30 13:54:44,2023-03-30 13:54:44
078750_1..S03R,20230330,1,134S,Houston St,2023-03-30 13:46:33.298436,2023-03-30 13:56:14,2023-03-30 13:56:14
078750_1..S03R,20230330,1,135S,Canal St,2023-03-30 13:46:33.298436,2023-03-30 13:57:44,2023-03-30 13:57:44
078750_1..S03R,20230330,1,136S,Franklin St,2023-03-30 13:46:33.298436,2023-03-30 13:58:44,2023-03-30 13:58:44
078750_1..S03R,20230330,1,137S,Chambers St,2023-03-30 13:46:33.298436,2023-03-30 14:00:14,2023-03-30 14:00:14
078750_1..S03R,20230330,1,138S,WTC Cortlandt,2023-03-30 13:46:33.298436,2023-03-30 14:01:14,2023-03-30 14:01:14
078750_1..S03R,20230330,1,139S,Rector St,2023-03-30 13:46:33.298436,2023-03-30 14:02:44,2023-03-30 14:02:44
078750_1..S03R,20230330,1,142S,South Ferry,2023-03-30 13:46:33.298436,2023-03-30 14:04:14,
078950_1..N03R,20230330,1,114N,145 St,2023-03-30 13:46:33.298436,2023-03-30 13:47:22,2023-03-30 13:47:22
078950_1..N03R,20230330,1,113N,157 St,2023-03-30 13:46:33.298436,2023-03-30 13:49:22,2023-03-30 13:49:22
078950_1..N03R,20230330,1,112N,168 St-Washington Hts,2023-03-30 13:46:33.298436,2023-03-30 13:50:52,2023-03-30 13:50:52
078950_1..N03R,20230330,1,111N,181 St,2023-03-30 13:46:33.298436,2023-03-30 13:52:52,2023-03-30 13:52:52
078950_1..N03R,20230330,1,110N,191 St,2023-03-30 13:46:33.298436,2023-03-30 13:54:22,2023-03-30 13:54:22
078950_1..N03R,20230330,1,109N,Dyckman St,2023-03-30 13:46:33.298436,2023-03-30 13:55:22,2023-03-30 13:55:22
078950_1..N03R,20230330,1,108N,207 St,2023-03-30 13:46:33.298436,2023-03-30 13:56:52,2023-03-30 13:56:52
078950_1..N03R,20230330,1,107N,215 St,2023-03-30 13:46:33.298436,2023-03-30 13:58:22,2023-03-30 13:58:22
078950_1..N03R,20230330,1,106N,Marble Hill-225 St,2023-03-30 13:46:33.298436,2023-03-30 13:59:52,2023-03-30 13:59:52
078950_1..N03R,20230330,1,104N,231 St,2023-03-30 13:46:33.298436,2023-03-30 14:01:22,2023-03-30 14:01:22
078950_1..N03R,20230330,1,103N,238 St,2023-03-30 13:46:33.298436,2023-03-30 14:02:52,2023-03-30 14:05:22
078950_1..N03R,20230330,1,101N,Van Cortlandt Park-242 St,2023-03-30 13:46:33.298436,2023-03-30 14:06:52,
079350_1..S03R,20230330,1,123S,72 St,2023-03-30 13:46:33.298436,2023-03-30 13:47:23,2023-03-30 13:47:23
